NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2015],
Quixaba,2611533,quixabense,SEBASTI�O CABRAL NUNES,210.705,6822,31.98,99.2,0.577,20.2,26460,23120,6027.77,
Recife,2611606,recifense,GERALDO JULIO DE MELLO FILHO,218.435,1637834,7039.64,97.1,0.772,11.96,4863814,4359406,29701.32,
Riacho das Almas,2611705,riachense,M�RIO DA MOTA LIMEIRA FILHO,314.003,20443,61.02,93.4,0.570,11.56,52372,49075,7682.04,
Ribeirão,2611804,ribeir�oense,MARCELLO CAVALCANTI DE PETRIB� DE ALBUQU,289.733,47209,154.35,92.9,0.602,9.06,82797,78496,7861.75,
Rio Formoso,2611903,rio-formosense,ISABEL CRISTINA ARA�JO HACKER,227.458,23440,97.39,89.5,0.613,10.15,60428,53244,10590.29,
Sairé,2612000,saireense,JOSE FERNANDO PERGENTINO DE BARROS,189.365,10103,59.36,97.7,0.585,-,27782,28166,13012.01,
Salgadinho,2612109,salgadinense,JOSE SOARES DA FONSECA,87.217,10768,106.77,87.6,0.534,-,25271,23794,4950.11,
Salgueiro,2612208,salgueirense,CLEBEL DE SOUZA CORDEIRO,1686.814,60604,33.57,96.7,0.669,16.11,123974,112548,12455.06,
Saloá,2612307,saloaense,MANOEL RICARDO DE ANDRADE LIMA ALVES,251.549,15823,60.73,97.4,0.559,24,41419,44582,6987.35,
Sanharó,2612406,sanharoense,HERALDO JOS� OLIVEIRA ALMEIDA,268.686,26026,81.71,93.2,0.603,22.8,45919,43659,6729.28,
Santa Cruz,2612455,santacruzense,ELIANE MARIA DA SILVA SOARES,1245.983,15236,10.82,97.5,0.549,11.36,38315,34281,6138.49,
Santa Cruz da Baixa Verde,2612471,santacruzense,TASSIO JOSE BEZERRA DOS SANTOS,114.932,12531,102.39,97.8,0.612,5.49,33047,31849,5688.45,
Santa Cruz do Capibaribe,2612505,santa-cruzense,EDSON DE SOUZA VIEIRA,335.309,105936,261.20,95.7,0.648,14.31,171093,157045,12286.00,
Santa Filomena,2612554,filomense,CLEOMATSON COELHO DE VASCONCELOS,1005.341,14390,13.30,97,0.533,5.41,38230,31284,5299.20,
Santa Maria da Boa Vista,2612604,boa-vistense,HUMBERTO CESAR DE FARIAS MENDES,3000.774,41759,13.14,97.4,0.590,16.09,111225,87341,11415.14,
Santa Maria do Cambucá,2612703,santa-mariense,ALEX ROBEVAN DE LIMA,92.148,14048,141.31,96.4,0.548,23.81,30855,30390,6143.14,
Santa Terezinha,2612802,santa-terezinhense,GEOVANE MARTINS,200.320,11764,56.20,97.8,0.593,-,29395,29130,5727.98,
São Benedito do Sul,2612901,s�o-beneditense,CLAUDIO JOSE GOMES DE AMORIM JUNIOR,160.477,15717,86.87,83.7,0.530,6.62,32840,28714,5183.63,
São Bento do Una,2613008,s�o-bentense,DEBORA LUZINETE DE ALMEIDA SEVERO,719.148,58956,74.03,93,0.593,14.96,117545,93583,13595.71,
São Caitano,2613107,s�o-caitanense,JADIEL CORDEIRO BRAGA,382.465,37119,92.23,97.2,0.591,14.52,65801,56622,8570.50,
São João,2613206,s�o-joanense,JOS� GENALDI FERREIRA ZUMBA,258.334,22686,82.50,96.3,0.570,21.02,55297,50985,7401.53,
São Joaquim do Monte,2613305,s�o-joaquinense,JO�O TEN�RIO VAZ CAVALCANTI J�NIOR,232.070,21314,88.39,94.2,0.537,11.24,50889,49067,6735.77,
São José da Coroa Grande,2613404,s�o-jos�-coroa-grandense,JAZIEL GONSALVES LAGES,69.341,21004,262.19,95.8,0.608,7.87,50302,47249,8807.95,
São José do Belmonte,2613503,belmontense,FRANCISCO ROMONILSON MARIANO DE MOURA,1474.086,33895,22.13,96.2,0.610,6.92,64495,62960,6546.82,
São José do Egito,2613602,egipsiense,EVANDRO PERAZZO VALADARES,794.143,33789,39.84,98.9,0.635,10.92,73405,72014,8844.21,
São Lourenço da Mata,2613701,s�o-lourensense,BRUNO GOMES DE OLIVEIRA,262.106,112362,392.57,97.1,0.653,15.38,163986,135812,8845.69,
São Vicente Ferrer,2613800,s�o-vicentino,FLAVIO TRAVASSOS REGIS DE ALBUQUERQUE,113.985,17950,149.14,95.2,0.549,12.35,45895,44805,10247.71,
Serra Talhada,2613909,serra-talhadense,LUCIANO DUQUE DE GODOY SOUSA,2980.007,85774,26.59,96.7,0.661,15.07,193464,185582,14554.90,
Serrita,2614006,serritense,ERIVALDO OLIVEIRA SANTOS,1538.497,19133,11.92,98.1,0.595,19.76,49139,48299,6266.06,
Sertânia,2614105,sertaniense,ANGELO RAFAEL FERREIRA DOS SANTOS,2421.527,35761,13.95,94.6,0.613,27.03,76417,67488,7641.00,
Sirinhaém,2614204,sirinhaense,FRANZ ARA�JO HACKER,374.610,45359,107.57,94.1,0.597,6.73,93842,84293,11355.23,
Moreilândia,2614303,moreirense,JOAO ANGELIM CRUZ,404.287,11270,27.52,96.8,0.600,5.78,32640,33535,6233.82,
Solidão,2614402,solidanense,DJALMA ALVES DE SOUZA,138.399,5993,41.50,96.9,0.585,8.77,22765,19023,6204.54,
Surubim,2614501,surubinense,ANA C�LIA CABRAL DE FARIAS,252.855,64520,231.42,97.8,0.635,13.57,110621,108334,10357.89,
Tabira,2614600,tabirense,SEBASTI�O DIAS FILHO,388.005,28371,68.11,97.2,0.605,14.29,54036,53163,7515.56,
Tacaimbó,2614709,tacaimboense,ALVARO ALCANTARA MARQUES DA SILVA,227.601,12890,55.91,94.4,0.554,25.97,28543,25823,7865.02,
Tacaratu,2614808,tacaratuense,JOSE GERSON DA SILVA,1264.530,25417,17.45,96.3,0.573,20.83,51206,55956,11121.92,
Tamandaré,2614857,tamandareense,SERGIO HACKER CORTE REAL,214.308,23149,96.66,95.5,0.593,7.71,65050,62478,10667.92,
Taquaritinga do Norte,2615003,taquaritinguense,IVANILDO MESTRE BEZERRA,475.183,28416,52.41,96.2,0.641,8.67,50819,49121,7378.57,
Terezinha,2615102,terezinhense,MATHEUS EMIDIO DE BARROS CALADO,151.450,7139,44.48,95.7,0.545,36.36,21604,19868,6688.17,
Terra Nova,2615201,terra-novense,ALINE CLEANNE FILGUEIRA FREIRE DE CARVAL,296.177,9983,28.95,98.2,0.599,13.89,27518,23823,5684.80,
